Run_5-4-2026_1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
-- Center find UTS DATA --,,,,,,,,,,,,,,,,,,,,,,,,,,
point id,,c1,c2,c3,c4,c5,c6,c7,c8,c9,,,,,,,,,,,,,,,,
UTS-J,East,36,33.76,32.647,33.077,36.7,37.244,39.023,39.368,38.174,,,,,,,,,,,,,,,,
UTS-J,North,-2.989,-2.133,-0.12,2.188,3.677,3.628,2.093,-0.29,-2.23,,,,,,,,,,,,,,,,
UTS-J,Elevation,10.65,10.671,10.692,10.702,10.697,10.681,10.658,10.641,10.638,,,,,,,,,,,,,,,,
-- Center find Machine DATA --,,,,,,,,,,,,,,,,,,,,,,,,,,
Point J Prime,X,-3322.09,-2007.34,202.167,2344.96,3394.97,2847.24,962.992,-1427.05,-3064.62,,,,,,,,,,,,,,,,
Point J Prime,Y,4524.16,4523.52,4523.52,4524.12,4523.16,4523.52,4523.23,4523.2,4525.12,,,,,,,,,,,,,,,,
Point J Prime,Z,-795.071,-2763.87,-3408.62,-2482.73,-370.368,1887.44,3277.6,3103.37,1507.45,,,,,,,,,,,,,,,,
----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,,,,,,,,,,,,,,,,
-- Test Run UTS DATA --,,,,,,,,,,,,,,,,,,,,,,,,,,
point id,,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25
UTS-J,East,35.357,35.678,35.46,35.532,35.414,35.928,35.944,35.942,35.93,35.939,36.361,36.345,36.324,36.225,36.46,36.669,37.275,37.162,37.28,37.32,36.845,38.077,37.793,38.1,38.525
UTS-J,North,4.368,2.806,3.9,3.57,4.112,4.16,3.32,2.862,3.665,3.736,3.74,3.65,3.561,2.97,4.26,2.436,3.331,3.151,3.321,3.389,2.111,3.063,2.864,3.118,3.451
UTS-J,Elevation,7.49,6.57,7.903,8.59,7.978,7.971,8.677,6.572,6.596,6.679,6.819,7.185,7.486,6.512,8.092,6.748,7.022,7.962,7.639,8.047,6.812,6.798,7.8135,7.422,8.423
-- Test Run Machine DATA --,,,,,,,,,,,,,,,,,,,,,,,,,,
Bench Point 1,X,4113.04,4113.04,4113.04,4113.04,4113.04,4113.04,4113.04,4113.04,4113.04,4113.04,4113.04,4113.04,4113.04,4113.04,4113.04,4113.04,4113.04,4113.04,4113.04,4113.04,4113.04,4113.04,4113.04,4113.04,4113.04
Bench Point 1,Y,692.224,692.224,692.224,692.224,692.224,692.224,692.224,692.224,692.224,692.224,692.224,692.224,692.224,692.224,692.224,692.224,692.224,692.224,692.224,692.224,692.224,692.224,692.224,692.224,692.224
Bench Point 1,Z,221.932,221.932,221.932,221.932,221.932,221.932,221.932,221.932,221.932,221.932,221.932,221.932,221.932,221.932,221.932,221.932,221.932,221.932,221.932,221.932,221.932,221.932,221.932,221.932,221.932
